ReadFile	direct	18	n	80:func (l *LanguageService) ReadFile(fileName string) (string, bool) { || 81:return l.host.ReadFile(fileName)
ReportNonSerializableProperty$1	closure	0	n	
IsLineBreak	direct	0	n	459:if stringutil.IsLineBreak(ch) {
checkObjectLiteral$2	closure	0	n	
IsSourceFileFromExternalLibrary	direct	2	y	2117:func (p *Program) IsSourceFileFromExternalLibrary(file *ast.SourceFile) bool { || 2152:if p.IsSourceFileDefaultLibrary(file.Path()) || p.IsSourceFileFromExternalLibrary(file) || strings.Contains(fi
NewNodeVisitor	direct	1	n	181:tx.modifierVisitor = tx.EmitContext().NewNodeVisitor(tx.visitModifier) || 182:tx.discardedValueVisitor = tx.EmitContext().NewNodeVisitor(tx.visitDiscardedValue) || 183:tx.heritageClauseVisitor = tx.EmitContext().NewNodeVisitor(tx.visitHeritageClause)
AsModuleDeclaration	direct	1	n	49:nameText := node.AsModuleDeclaration().Name().Text() || 56:file.ModuleAugmentations = append(file.ModuleAugmentations, node.AsModuleDeclaration().Name())
FileExists	direct	23	y	956:if r.resolver.host.FS().FileExists(possibleInputWithInputExtension) { || 1615:if r.resolver.host.FS().FileExists(fileName) { || 1795:if directoryExists && r.resolver.host.FS().FileExists(packageJsonPath) {
Error	direct	21	n	516:return nil, nil, "", "", &InitializeError{Kind: InitializeErrorKindProcessStart, MapperName: diagnosticName, C || 554:return nil, nil, "", "", &InitializeError{Kind: InitializeErrorKindRequest, MapperName: diagnosticName, Detail || 1107:return "", "", &InitializeError{Kind: InitializeErrorKindInvalidResponse, Detail: err.Error()}
Factory	direct	1	n	398:name = tx.Factory().NewStringLiteralFromNode(node.AsPropertyAccessExpression().Name()) || 401:temp := tx.Factory().NewTempVariable() || 402:setExpr := tx.Factory().NewReflectSetCall(
AsNode	direct	2	y	244:if !canUseSourceFile || ast.GetSourceFileOfNode(node) != p.emitContext.MostOriginal(p.currentSourceFile.AsNode || 776:if p.shouldEmitOnSingleLine(body.AsNode()) { || 784:if !ast.NodeIsSynthesized(body.AsNode()) && p.currentSourceFile != nil && !RangeIsOnSingleLine(body.Loc, p.cur
