budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
roomy	10	12000	10	query	dimension_fanout	3	1	10	110	1607	0.198625	0.193416	0.271084	2.380125	2.320833	2.567959	2.651209	2.514249	2.766584	0.420917	0.135709
roomy	10	12000	10	query	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	2.765208	2.760000	3.365708	2.765208	2.760000	3.365708	0.635250	0.250375
roomy	10	12000	10	query	insert_batch	3	10	10	110	1605	0.567292	0.472083	0.654250	2.758708	2.619791	2.967584	3.274041	3.230791	3.534876	0.709584	0.114542
roomy	10	12000	10	query	update_batch	3	10	10	110	1606	0.403791	0.272916	0.561250	2.388167	2.344667	2.446708	2.791958	2.617583	3.007958	0.398250	0.085417
roomy	200	400	10	pg_ivm	delete_batch	3	10	10	20	249	0.823125	0.747667	0.906250	0.618250	0.569375	0.769875	1.524500	1.317042	1.593000	0.192708	0.055667
roomy	200	400	10	pg_ivm	dimension_fanout	3	1	200	20	249	0.951041	0.882167	1.396083	0.628000	0.575583	1.099375	1.579041	1.457750	2.495458	0.251083	0.074625
roomy	200	400	10	pg_ivm	initial	3	0	0	20	244	0.000000	0.000000	0.000000	0.778041	0.769291	0.796875	0.778041	0.769291	0.796875	0.335709	0.211500
roomy	200	400	10	pg_ivm	insert_batch	3	10	10	20	247	1.214250	1.146458	3.362416	0.726000	0.626292	2.247833	1.872458	1.840542	5.610249	0.286750	0.087041
roomy	200	400	10	pg_ivm	update_batch	3	10	10	20	248	1.431583	1.050333	1.475792	0.743958	0.576458	0.810958	2.219750	1.626791	2.242541	0.259958	0.052166
roomy	200	400	10	query	delete_batch	3	10	10	20	249	0.381458	0.315000	0.406583	0.906500	0.886084	8.482792	1.313083	1.201084	8.864250	0.227083	0.063250
roomy	200	400	10	query	dimension_fanout	3	1	200	20	249	0.362000	0.348125	0.381625	0.832667	0.756833	1.302708	1.194667	1.104958	1.684333	0.285333	0.073917
roomy	200	400	10	query	initial	3	0	0	20	244	0.000000	0.000000	0.000000	1.271708	1.221500	1.359750	1.271708	1.221500	1.359750	0.387250	0.228250
roomy	200	400	10	query	insert_batch	3	10	10	20	247	0.619875	0.450375	0.843334	0.933875	0.901375	1.081083	1.553750	1.351750	1.924417	0.280000	0.082500
roomy	200	400	10	query	update_batch	3	10	10	20	248	0.725958	0.551209	1.190959	0.996375	0.934000	1.049125	1.775083	1.485209	2.187334	0.290583	0.071250
roomy	200	12000	10	pg_ivm	delete_batch	3	10	10	110	1606	0.991042	0.885458	1.145417	0.705917	0.684208	0.772833	1.763875	1.591375	1.829625	0.331041	0.088334
roomy	200	12000	10	pg_ivm	dimension_fanout	3	1	200	110	1607	0.919625	0.762041	1.028208	0.682000	0.637667	0.746959	1.557292	1.444041	1.775167	0.341583	0.113292
roomy	200	12000	10	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.883208	0.740959	0.889375	0.883208	0.740959	0.889375	0.579792	0.220750
roomy	200	12000	10	pg_ivm	insert_batch	3	10	10	110	1606	1.047333	0.983292	1.168500	0.657833	0.593750	0.881917	1.705166	1.577042	2.050417	0.514750	0.096458
roomy	200	12000	10	pg_ivm	update_batch	3	10	10	110	1606	1.013542	1.000083	1.083958	0.739250	0.727750	0.780959	1.781042	1.741292	1.823208	0.416166	0.081625
roomy	200	12000	10	query	delete_batch	3	10	10	110	1606	0.356958	0.292041	0.405709	2.323416	2.273167	2.732792	2.729125	2.630125	3.024833	0.428417	0.095792
roomy	200	12000	10	query	dimension_fanout	3	1	200	110	1607	0.248833	0.213958	0.277542	2.394542	2.311542	2.466625	2.608500	2.589084	2.715458	0.370208	0.118458
